Date,Total Confirmed,Total Recovered
30-Jan,1,0
31-Jan,1,0
01-Feb,1,0
02-Feb,2,0
03-Feb,3,0
04-Feb,3,0
05-Feb,3,0
06-Feb,3,0
07-Feb,3,0
08-Feb,3,0
09-Feb,3,0
10-Feb,3,0
11-Feb,3,0
12-Feb,3,0
13-Feb,3,1
14-Feb,3,1
15-Feb,3,1
16-Feb,3,2
17-Feb,3,2
18-Feb,3,2
19-Feb,3,2
20-Feb,3,3
21-Feb,3,3
22-Feb,3,3
23-Feb,3,3
24-Feb,3,3
25-Feb,3,3
26-Feb,3,3
27-Feb,3,3
28-Feb,3,3
29-Feb,3,3
01-Mar,3,3
02-Mar,5,3
03-Mar,6,3
04-Mar,28,3
05-Mar,30,3
06-Mar,31,3
07-Mar,34,3
08-Mar,39,3
09-Mar,48,3
10-Mar,63,4
11-Mar,71,4
12-Mar,81,4
13-Mar,91,10
14-Mar,102,10
15-Mar,112,13
16-Mar,126,14
17-Mar,146,15
18-Mar,171,15
19-Mar,198,20
20-Mar,256,23
21-Mar,334,23
22-Mar,403,23
23-Mar,497,25
24-Mar,571,40
25-Mar,657,43
26-Mar,730,50
27-Mar,883,75
28-Mar,1019,85
29-Mar,1139,102
30-Mar,1326,137
31-Mar,1635,150
01-Apr,2059,169
02-Apr,2545,191
03-Apr,3105,230
04-Apr,3684,286
05-Apr,4293,329
06-Apr,4777,394
07-Apr,5350,469
08-Apr,5915,565
09-Apr,6728,635
10-Apr,7599,786
11-Apr,8453,972
12-Apr,9211,1086
13-Apr,10454,1198
14-Apr,11485,1365
15-Apr,12371,1509
16-Apr,13432,1767
17-Apr,14354,2040
18-Apr,15725,2466
19-Apr,17305,2854
20-Apr,18544,3273
21-Apr,20081,3976
22-Apr,21373,4370
23-Apr,23040,5012
24-Apr,24448,5496
25-Apr,26283,5938
26-Apr,27890,6523
27-Apr,29458,7103
28-Apr,31360,7739
29-Apr,33065,8429
30-Apr,34866,9059
01-May,37257,10021
